Date,Deficit
117,2012-12-01,85967000000.0
118,2013-01-01,-2886000000.0
119,2013-02-01,203539000000.0
120,2013-03-01,106530000000.0
121,2013-04-01,-112889000000.0
122,2013-05-01,138732000000.0
123,2013-06-01,-116501000000.0
124,2013-07-01,97597000000.0
125,2013-08-01,147905000000.0
126,2013-09-01,-75114000000.0
90,2013-10-01,90586195000.53
91,2013-11-01,135226334085.45
92,2013-12-01,-53220390998.72
0,2014-01-01,17546249745.47
1,2014-02-01,192349767287.3
2,2014-03-01,52917836010.19
3,2014-04-01,-156709215353.11
4,2014-05-01,84067819065.34
5,2014-06-01,-50486503789.26
6,2014-07-01,149186766112.85
7,2014-08-01,64420120225.2
8,2014-09-01,-105803436473.16
93,2014-10-01,136558036669.27
94,2014-11-01,64549140265.32
95,2014-12-01,-1864365261.13
9,2015-01-01,-55163282790.04
10,2015-02-01,192610001706.36
11,2015-03-01,108042730738.78
12,2015-04-01,-106455327471.6
13,2015-05-01,52507411657.99
14,2015-06-01,-50486503789.26
15,2015-07-01,149186766112.85
16,2015-08-01,64411505225.2
17,2015-09-01,-90868858861.11
96,2015-10-01,136558036669.27
97,2015-11-01,62869459029.47
98,2015-12-01,14443943853.5
18,2016-01-01,-55163282790.04
19,2016-02-01,192610001706.36
20,2016-03-01,108042730738.78
21,2016-04-01,-106455327471.6
22,2016-05-01,52507411657.99
23,2016-06-01,-6251989522.86
24,2016-07-01,112819022904.5
25,2016-08-01,107111575680.04
26,2016-09-01,-8000082935.23
99,2016-10-01,45830538629.56
100,2016-11-01,136668573515.62
101,2016-12-01,27336623518.82
27,2017-01-01,-51257134643.0
28,2017-02-01,192044438439.46
29,2017-03-01,176232539732.29
30,2017-04-01,-182428036474.96
31,2017-05-01,88422707828.18
32,2017-06-01,90233191070.67
33,2017-07-01,42939377600.97
34,2017-08-01,107688776779.88
35,2017-09-01,-7885535560.15
102,2017-10-01,63214017966.95
103,2017-11-01,138547437817.59
104,2017-12-01,23192356530.93
36,2018-01-01,-49236838792.62
37,2018-02-01,215239383618.4
38,2018-03-01,208743828033.73
39,2018-04-01,-214255113667.31
40,2018-05-01,146796443365.56
41,2018-06-01,74857990463.56
42,2018-07-01,76865229661.62
43,2018-08-01,214147525739.02
44,2018-09-01,-119116141692.03
105,2018-10-01,100491142544.73
106,2018-11-01,204902597142.64
107,2018-12-01,13539358629.05
45,2019-01-01,-8680906186.3
46,2019-02-01,235278365573.44
47,2019-03-01,118987831705.71
48,2019-04-01,738022180413.67
49,2019-05-01,398753867789.68
50,2019-06-01,864074068491.71
51,2019-07-01,62991726394.54
52,2019-08-01,200012143124.61
53,2019-09-01,124610558419.19
108,2019-10-01,134467379009.81
109,2019-11-01,208838294456.74
110,2019-12-01,13285876488.79
54,2020-01-01,32594957020.41
55,2020-02-01,235278365573.44
56,2020-03-01,118987831705.71
57,2020-04-01,738022180413.67
58,2020-05-01,398753867789.68
59,2020-06-01,864074068491.71
60,2020-07-01,62991726394.54
61,2020-08-01,200012143124.61
62,2020-09-01,124610555174.19
111,2020-10-01,284070537172.84
112,2020-11-01,145266263529.85
113,2020-12-01,143562284436.78
63,2021-01-01,162832489467.54
64,2021-02-01,310921941448.67
65,2021-03-01,659602711157.45
66,2021-04-01,225579468130.06
67,2021-05-01,131953219319.85
68,2021-06-01,174160550262.16
69,2021-07-01,302050488343.5
70,2021-08-01,170634583808.04
71,2021-09-01,64940344233.28
114,2021-10-01,165055366933.25
115,2021-11-01,191335044284.96
116,2021-12-01,21303129425.23
72,2022-01-01,-118698858241.66
73,2022-02-01,216589752056.05
74,2022-03-01,192633669610.52
75,2022-04-01,-308215060526.79
76,2022-05-01,66222513681.58
77,2022-06-01,88841513216.92
78,2022-07-01,211051762603.46
79,2022-08-01,219596240949.64
80,2022-09-01,429723938823.98
