Date,GDP Change
0,2012-12-01,0.4
1,2013-01-01,0.6
2,2013-02-01,0.6
3,2013-03-01,0.6
4,2013-04-01,3.2
5,2013-05-01,3.2
6,2013-06-01,3.2
7,2013-07-01,2.9
8,2013-08-01,2.9
9,2013-09-01,2.9
10,2013-10-01,-1.4
11,2013-11-01,-1.4
12,2013-12-01,-1.4
13,2014-01-01,5.2
14,2014-02-01,5.2
15,2014-03-01,5.2
16,2014-04-01,4.7
17,2014-05-01,4.7
18,2014-06-01,4.7
19,2014-07-01,1.8
20,2014-08-01,1.8
21,2014-09-01,1.8
22,2014-10-01,3.3
23,2014-11-01,3.3
24,2014-12-01,3.3
25,2015-01-01,2.3
26,2015-02-01,2.3
27,2015-03-01,2.3
28,2015-04-01,1.3
29,2015-05-01,1.3
30,2015-06-01,1.3
31,2015-07-01,0.6
32,2015-08-01,0.6
33,2015-09-01,0.6
34,2015-10-01,2.4
35,2015-11-01,2.4
36,2015-12-01,2.4
37,2016-01-01,1.2
38,2016-02-01,1.2
39,2016-03-01,1.2
40,2016-04-01,2.4
41,2016-05-01,2.4
42,2016-06-01,2.4
43,2016-07-01,2.0
44,2016-08-01,2.0
45,2016-09-01,2.0
46,2016-10-01,1.7
47,2016-11-01,1.7
48,2016-12-01,1.7
49,2017-01-01,2.0
50,2017-02-01,2.0
51,2017-03-01,2.0
52,2017-04-01,3.4
53,2017-05-01,3.4
54,2017-06-01,3.4
55,2017-07-01,4.1
56,2017-08-01,4.1
57,2017-09-01,4.1
58,2017-10-01,2.8
59,2017-11-01,2.8
60,2017-12-01,2.8
61,2018-01-01,2.8
62,2018-02-01,2.8
63,2018-03-01,2.8
64,2018-04-01,2.9
65,2018-05-01,2.9
66,2018-06-01,2.9
67,2018-07-01,0.7
68,2018-08-01,0.7
69,2018-09-01,0.7
70,2018-10-01,2.2
71,2018-11-01,2.2
72,2018-12-01,2.2
73,2019-01-01,2.7
74,2019-02-01,2.7
75,2019-03-01,2.7
76,2019-04-01,3.6
77,2019-05-01,3.6
78,2019-06-01,3.6
79,2019-07-01,1.8
80,2019-08-01,1.8
81,2019-09-01,1.8
82,2019-10-01,-4.6
83,2019-11-01,-4.6
84,2019-12-01,-4.6
85,2020-01-01,-29.9
86,2020-02-01,-29.9
87,2020-03-01,-29.9
88,2020-04-01,35.3
89,2020-05-01,35.3
90,2020-06-01,35.3
91,2020-07-01,3.9
92,2020-08-01,3.9
93,2020-09-01,3.9
94,2020-10-01,6.3
95,2020-11-01,6.3
96,2020-12-01,6.3
97,2021-01-01,7.0
98,2021-02-01,7.0
99,2021-03-01,7.0
100,2021-04-01,2.7
101,2021-05-01,2.7
102,2021-06-01,2.7
103,2021-07-01,7.0
104,2021-08-01,7.0
105,2021-09-01,7.0
106,2021-10-01,-1.6
107,2021-11-01,-1.6
108,2021-12-01,-1.6
109,2022-01-01,-1.6
110,2022-02-01,-1.6
111,2022-03-01,-1.6
112,2022-04-01,-0.6
113,2022-05-01,-0.6
114,2022-06-01,-0.6
115,2022-07-01,2.9
116,2022-08-01,2.9
117,2022-09-01,2.9
