Date,Inflation Rate
11,2012-12-01,1.9
12,2013-01-01,1.9
13,2013-02-01,2.0
14,2013-03-01,1.9
15,2013-04-01,1.7
16,2013-05-01,1.7
17,2013-06-01,1.6
18,2013-07-01,1.7
19,2013-08-01,1.8
20,2013-09-01,1.7
21,2013-10-01,1.7
22,2013-11-01,1.7
23,2013-12-01,1.7
24,2014-01-01,1.6
25,2014-02-01,1.6
26,2014-03-01,1.7
27,2014-04-01,1.8
28,2014-05-01,2.0
29,2014-06-01,1.9
30,2014-07-01,1.9
31,2014-08-01,1.7
32,2014-09-01,1.7
33,2014-10-01,1.8
34,2014-11-01,1.7
35,2014-12-01,1.6
36,2015-01-01,1.6
37,2015-02-01,1.7
38,2015-03-01,1.8
39,2015-04-01,1.8
40,2015-05-01,1.7
41,2015-06-01,1.8
42,2015-07-01,1.8
43,2015-08-01,1.8
44,2015-09-01,1.9
45,2015-10-01,1.9
46,2015-11-01,2.0
47,2015-12-01,2.1
48,2016-01-01,2.2
49,2016-02-01,2.3
50,2016-03-01,2.2
51,2016-04-01,2.1
52,2016-05-01,2.2
53,2016-06-01,2.2
54,2016-07-01,2.2
55,2016-08-01,2.3
56,2016-09-01,2.2
57,2016-10-01,2.1
58,2016-11-01,2.1
59,2016-12-01,2.2
60,2017-01-01,2.3
61,2017-02-01,2.2
62,2017-03-01,2.0
63,2017-04-01,1.9
64,2017-05-01,1.7
65,2017-06-01,1.7
66,2017-07-01,1.7
67,2017-08-01,1.7
68,2017-09-01,1.7
69,2017-10-01,1.8
70,2017-11-01,1.7
71,2017-12-01,1.8
72,2018-01-01,1.8
73,2018-02-01,1.8
74,2018-03-01,2.1
75,2018-04-01,2.1
76,2018-05-01,2.2
77,2018-06-01,2.3
78,2018-07-01,2.4
79,2018-08-01,2.2
80,2018-09-01,2.2
81,2018-10-01,2.1
82,2018-11-01,2.2
83,2018-12-01,2.2
84,2019-01-01,2.2
85,2019-02-01,2.1
86,2019-03-01,2.0
87,2019-04-01,2.1
88,2019-05-01,2.0
89,2019-06-01,2.1
90,2019-07-01,2.2
91,2019-08-01,2.4
92,2019-09-01,2.4
93,2019-10-01,2.3
94,2019-11-01,2.3
95,2019-12-01,2.3
96,2020-01-01,2.3
97,2020-02-01,2.4
98,2020-03-01,2.1
99,2020-04-01,1.4
100,2020-05-01,1.2
101,2020-06-01,1.2
102,2020-07-01,1.6
103,2020-08-01,1.7
104,2020-09-01,1.7
105,2020-10-01,1.6
106,2020-11-01,1.6
107,2020-12-01,1.6
108,2021-01-01,1.4
109,2021-02-01,1.3
110,2021-03-01,1.6
111,2021-04-01,3.0
112,2021-05-01,3.8
113,2021-06-01,4.5
114,2021-07-01,4.3
115,2021-08-01,4.0
116,2021-09-01,4.0
117,2021-10-01,4.6
118,2021-11-01,4.9
119,2021-12-01,5.5
120,2022-01-01,6.0
121,2022-02-01,6.4
122,2022-03-01,6.5
123,2022-04-01,6.2
124,2022-05-01,6.0
125,2022-06-01,5.9
126,2022-07-01,5.9
127,2022-08-01,6.3
128,2022-09-01,6.6
