Date,Unemployment Rate
23,2012-12-01,7.9
24,2013-01-01,8.0
25,2013-02-01,7.7
26,2013-03-01,7.5
27,2013-04-01,7.6
28,2013-05-01,7.5
29,2013-06-01,7.5
30,2013-07-01,7.3
31,2013-08-01,7.2
32,2013-09-01,7.2
33,2013-10-01,7.2
34,2013-11-01,6.9
35,2013-12-01,6.7
36,2014-01-01,6.6
37,2014-02-01,6.7
38,2014-03-01,6.7
39,2014-04-01,6.2
40,2014-05-01,6.3
41,2014-06-01,6.1
42,2014-07-01,6.2
43,2014-08-01,6.1
44,2014-09-01,5.9
45,2014-10-01,5.7
46,2014-11-01,5.8
47,2014-12-01,5.6
48,2015-01-01,5.7
49,2015-02-01,5.5
50,2015-03-01,5.4
51,2015-04-01,5.4
52,2015-05-01,5.6
53,2015-06-01,5.3
54,2015-07-01,5.2
55,2015-08-01,5.1
56,2015-09-01,5.0
57,2015-10-01,5.0
58,2015-11-01,5.1
59,2015-12-01,5.0
60,2016-01-01,4.8
61,2016-02-01,4.9
62,2016-03-01,5.0
63,2016-04-01,5.1
64,2016-05-01,4.8
65,2016-06-01,4.9
66,2016-07-01,4.8
67,2016-08-01,4.9
68,2016-09-01,5.0
69,2016-10-01,4.9
70,2016-11-01,4.7
71,2016-12-01,4.7
72,2017-01-01,4.7
73,2017-02-01,4.6
74,2017-03-01,4.4
75,2017-04-01,4.4
76,2017-05-01,4.4
77,2017-06-01,4.3
78,2017-07-01,4.3
79,2017-08-01,4.4
80,2017-09-01,4.3
81,2017-10-01,4.2
82,2017-11-01,4.2
83,2017-12-01,4.1
84,2018-01-01,4.0
85,2018-02-01,4.1
86,2018-03-01,4.0
87,2018-04-01,4.0
88,2018-05-01,3.8
89,2018-06-01,4.0
90,2018-07-01,3.8
91,2018-08-01,3.8
92,2018-09-01,3.7
93,2018-10-01,3.8
94,2018-11-01,3.8
95,2018-12-01,3.9
96,2019-01-01,4.0
97,2019-02-01,3.8
98,2019-03-01,3.8
99,2019-04-01,3.6
100,2019-05-01,3.6
101,2019-06-01,3.6
102,2019-07-01,3.7
103,2019-08-01,3.7
104,2019-09-01,3.5
105,2019-10-01,3.6
106,2019-11-01,3.6
107,2019-12-01,3.6
108,2020-01-01,3.5
109,2020-02-01,3.5
110,2020-03-01,4.4
111,2020-04-01,14.7
112,2020-05-01,13.2
113,2020-06-01,11.0
114,2020-07-01,10.2
115,2020-08-01,8.4
116,2020-09-01,7.9
117,2020-10-01,6.9
118,2020-11-01,6.7
119,2020-12-01,6.7
120,2021-01-01,6.4
121,2021-02-01,6.2
122,2021-03-01,6.0
123,2021-04-01,6.0
124,2021-05-01,5.8
125,2021-06-01,5.9
126,2021-07-01,5.4
127,2021-08-01,5.2
128,2021-09-01,4.7
129,2021-10-01,4.6
130,2021-11-01,4.2
131,2021-12-01,3.9
132,2022-01-01,4.0
133,2022-02-01,3.8
134,2022-03-01,3.6
135,2022-04-01,3.6
136,2022-05-01,3.6
137,2022-06-01,3.6
138,2022-07-01,3.5
139,2022-08-01,3.7
140,2022-09-01,3.5
